opq_vec
1
1
1
1
86
99
2
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
3
3
4
5
6
7
8
9
9
10
11
12
13
13
13
13
13
13
12
12
12
9
10
9
9
9
10
10
10
11
10
8
8
8
8
34
34
35
36
37
38
39
31
30
26
24
25
25
23
46
41
31
27
28
44
45
40
38
43
43
34
28
35
1
39
31
34
34
33
27
20
7
28
43
44
44
45
45
40
36
37
36
29
2
19
20
19
20
2
31
26
26
23
7
44
4
1
39
27
22
33
37
36
0
27
1
1
36
1
24
1
38
7
45
44
40
45
42
1
44
1
37
39
36
44
37
44
29
43
37
40
44
1
34
45
45
43
35
44
35
44
34
44
44
1
36
44
37
44
42
44
39
45
44
29
12
38
16
44
44
31
24
30
3
29
23
15
1
37
30
24
24
37
43
44
1
43
37
45
46
41
0
40
33
1
44
38
1
36
1
45
1
44
19
45
46
42
43
16
43
44
45
43
31
42
1
42
25
45
45
44
45
45
45
11
45
1
45
44
45
1
45
44
45
0
45
1
45
1
45
6
46
43
46
43
41
3
37
21
20
16
16
1
45
0
45
41
45
1
45
44
45
1
40
44
44
1
43
1
45
1
45
44
42
1
45
0
45
1
45
1
45
2
45
1
45
1
45
18
46
46
46
44
46
43
39
3
1
1
1
1
1
43
44
1
44
32
1
45
1
45
1
45
44
45
45
45
1
45
10
40
44
45
1
41
44
44
44
45
1
34
1
38
44
45
1
32
2
45
1
45
44
43
14
43
45
45
1
45
5
45
9
45
44
45
1
45
1
45
1
36
0
41
43
43
44
45
44
39
44
43
1
45
1
37
44
43
1
40
44
45
44
45
1
44
1
45
44
44
0
45
1
45
45
45
44
45
1
44
1
43
44
45
1
41
45
45
43
42
1
39
1
45
44
41
44
44
1
39
1
45
44
45
45
38
44
45
44
44
44
44
44
45
1
44
44
41
44
45
44
45
41
30
44
45
1
45
44
45
44
45
44
45
44
38
1
45
44
45
44
45
44
45
44
45
44
45
44
45
1
43
1
42
44
45
44
45
44
45
2
45
1
45
44
44
1
43
44
44
44
45
44
45
1
38
1
45
44
45
44
38
44
45
44
43
1
44
44
42
33
45
44
45
44
45
44
45
1
44
44
44
18
45
10
45
10
45
44
45
44
45
1
44
44
45
44
45
44
44
44
44
22
44
1
41
30
38
44
37
44
44
44
41
44
45
1
44
23
44
27
45
44
32
44
43
44
36
1
43
45
41
43
44
8
43
31
43
36
44
43
1
45
42
31
44
45
44
45
1
44
1
42
30
1
42
44
45
1
45
1
45
44
45
2
45
1
45
43
31
45
45
44
33
44
45
1
45
1
43
1
39
1
43
2
41
44
45
44
44
1
45
1
43
45
29
43
34
44
23
43
33
44
30
1
39
44
38
44
43
44
43
38
1
40
1
31
42
39
43
39
43
43
43
38
43
43
1
35
43
41
43
28
26
27
42
43
36
41
32
1
41
40
24
43
39
41
29
43
38
1
33
43
28
1
43
1
40
42
42
23
41
41
42
43
1
33
1
33
39
34
42
36
0
43
42
43
1
35
42
36
42
41
42
38
12
38
42
39
1
32
42
43
42
42
1
1
43
2
43
38
44
44
1
43
43
